Event Name	Year	Division	Finish Place	Total Entries	Time (h:mm:ss)	Notes
Waikiki Rough Water Relay	2024	Masters Men OC6	4	18	1:28:14	
Ala Moana Invitational	2024	Masters Men OC6	2	12	1:09:42	Silver medal
Kekai Classic	2024	Masters Men OC6	3	15	0:44:51	
Kaiwi Channel Relay	2024	Masters Men OC6	6	22	5:42:18	Rough conditions
HCRA Season Finale	2024	Masters Men OC6	2	14	1:18:04	
Waikiki Rough Water Relay	2023	Masters Men OC6	5	17	1:31:22	
Ala Moana Invitational	2023	Masters Men OC6	3	11	1:12:01	
Kekai Classic	2023	Masters Men OC6	1	13	0:43:08	First place
Kaiwi Channel Relay	2023	Masters Men OC6	4	20	5:38:44	
HCRA Season Finale	2023	Masters Men OC6	4	16	1:20:33	
Waikiki Rough Water Relay	2022	Masters Men OC6	7	16	1:33:10	
Kaiwi Channel Relay	2022	Masters Men OC6	8	19	5:51:02	
Waikiki Rough Water Relay	2021	Masters Men OC6	4	14	1:29:55	
Kaiwi Channel Relay	2021	Masters Men OC6	5	18	5:44:30	
Kaiwi Channel Relay	2020	Masters Men OC6	DNF	16	N/A	Withdrew - medical
Kaiwi Channel Relay	2019	Masters Men OC6	9	20	6:01:44	
